Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A696047,White,01/28/2015 11:01:00 AM,01/28/2015 11:01:00 AM,Old Lockhart Hwy & Mustang Mesa Dr in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Collie Smooth Mix,White/Brown
A759252,,09/29/2017 02:00:00 PM,09/29/2017 02:00:00 PM,124 W Anderson Ln in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie/White
A720271,*Vinny,02/05/2016 05:02:00 PM,02/05/2016 05:02:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,0 years,Shih Tzu Mix,Brown/White
A692060,,11/13/2014 06:10:00 PM,11/13/2014 06:10:00 PM,9100 Evelyn Rd in Travis (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
A665548,Baby,10/19/2013 11:16:00 AM,10/19/2013 11:16:00 AM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,1 year,Rabbit Sh Mix,Tan/White
A677540,,04/26/2014 11:34:00 AM,04/26/2014 11:34:00 AM,1911 Willow Creek Dr in Austin (TX),Stray,Normal,Cat,Unknown,6 days,Domestic Shorthair Mix,Brown Tabby
A666427,,11/01/2013 10:44:00 AM,11/01/2013 10:44:00 AM,10135 Lake Creek Pkwy in Austin (TX),Wildlife,Injured,Other,Unknown,2 years,Raccoon Mix,Black/White
A745075,*Olive,03/12/2017 01:21:00 PM,03/12/2017 01:21:00 PM,7920 Old Lockhart in Travis (TX),Stray,Normal,Cat,Intact Female,7 months,Domestic Shorthair Mix,Brown Tabby
A711270,,09/04/2015 03:37:00 PM,09/04/2015 03:37:00 PM,2302 Bahama Rd in Travis (TX),Stray,Normal,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Brown Tabby/White
A710295,*Rza,12/14/2015 04:33:00 PM,12/14/2015 04:33:00 PM,1156 E. Cesar Chavez in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Pit Bull Mix,Chocolate/White
A666189,Paige,10/28/2013 05:40:00 PM,10/28/2013 05:40:00 PM,S 4Th And W Oltof in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Border Collie Mix,Tricolor
A739277,Alley,11/30/2016 11:03:00 AM,11/30/2016 11:03:00 AM,10427 Kirken St in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever/Dachshund,Black/White
A668273,Mama,12/01/2013 12:13:00 PM,12/01/2013 12:13:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black/White
A731320,*Bobo,07/20/2016 01:32:00 PM,07/20/2016 01:32:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Blue Tabby/White
A727323,*Deedee,05/21/2016 09:14:00 AM,05/21/2016 09:14:00 AM,8028 Elroy Rd in Travis (TX),Stray,Nursing,Dog,Intact Female,2 weeks,Pit Bull,White/Black
A755973,Pumpkin,08/12/2017 11:15:00 AM,08/12/2017 11:15:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Orange Tabby
A417737,Trixie,03/04/2018 03:53:00 PM,03/04/2018 03:53:00 PM,6910 Drexel Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,13 years,Chihuahua Longhair Mix,Tan/White
A780134,,09/10/2018 12:07:00 PM,09/10/2018 12:07:00 PM,12812 Thomas Jefferson Street in Manor (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico
A737788,Max,11/04/2016 01:51:00 PM,11/04/2016 01:51:00 PM,Sunset Trail And Reese Drive in Travis (TX),Stray,Normal,Dog,Intact Male,3 years,German Shepherd Mix,Black/Brown
A729565,,06/20/2016 12:54:00 PM,06/20/2016 12:54:00 PM,13309 Bennington Ln in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Silver Tabby/White
A711381,,09/06/2015 11:19:00 AM,09/06/2015 11:19:00 AM,810 E Slaughter Ln 9102 in Austin (TX),Stray,Normal,Cat,Intact Female,7 months,Domestic Shorthair Mix,Orange Tabby/White
A715345,*Jordy,11/04/2015 11:21:00 AM,11/04/2015 11:21:00 AM,11604 Ranch House Cv in Travis (TX),Stray,Normal,Dog,Neutered Male,9 months,Labrador Retriever Mix,Yellow
A717777,Duke,12/14/2015 05:14:00 PM,12/14/2015 05:14:00 PM,8601 Vertex in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Leonberger,Brown/Black
A708850,*Pigeon,08/01/2015 02:17:00 PM,08/01/2015 02:17:00 PM,16808 High Noon in Del Valle (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby
A673443,*Bonnie,02/24/2014 12:10:00 PM,02/24/2014 12:10:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,6 months,Tonkinese Mix,Chocolate Point
A677574,Tuna,04/26/2014 02:08:00 PM,04/26/2014 02:08:00 PM,2507 Bitter Creek in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A751448,*Moonpie,06/08/2017 12:48:00 PM,06/08/2017 12:48:00 PM,6403 Johnny Morris in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Blue Tabby
A780879,Bear,09/21/2018 01:23:00 PM,09/21/2018 01:23:00 PM,5501 Ed Bluestein Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Australian Cattle Dog/Labrador Retriever,Black/White
A743587,,02/13/2017 09:48:00 AM,02/13/2017 09:48:00 AM,1317 W. 10Th in Austin (TX),Wildlife,Sick,Other,Unknown,3 years,Raccoon Mix,Black/Gray
A728994,,06/12/2016 12:30:00 PM,06/12/2016 12:30:00 PM,7917 Brockman St in Austin (TX),Wildlife,Normal,Other,Unknown,4 weeks,Bat,Red
A672766,,02/16/2014 05:53:00 PM,02/16/2014 05:53:00 PM,409 Covenant Canyon Trl in Austin (TX),Stray,Normal,Cat,Intact Female,10 months,Domestic Longhair Mix,Torbie
A706093,,06/24/2015 12:17:00 PM,06/24/2015 12:17:00 PM,5702 Richmond Ave in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Black
A723284,*Selena,03/29/2016 02:27:00 PM,03/29/2016 02:27:00 PM,9219 Anderson Mill in Austin (TX),Stray,Normal,Cat,Intact Female,10 months,Domestic Shorthair Mix,Calico
A766156,,02/03/2018 11:02:00 AM,02/03/2018 11:02:00 AM,1820 Wooten Park in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,German Shepherd Mix,Brown/Black
A700028,*Elmo,04/06/2015 03:22:00 PM,04/06/2015 03:22:00 PM,E St Elmo Rd And Freidrich Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair/Dachshund,Black/White
A664302,,10/01/2013 04:03:00 PM,10/01/2013 04:03:00 PM,7903 Taza Trl in Austin (TX),Stray,Normal,Cat,Intact Female,9 months,Domestic Shorthair Mix,Black/White
A679881,*Thurgood,08/27/2015 03:29:00 PM,08/27/2015 03:29:00 PM,W Rundberg Ln And Georgian Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Australian Shepherd Mix,Black/Brown
A648094,Brawndo,06/28/2016 11:13:00 AM,06/28/2016 11:13:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Dachshund/Chihuahua Shorthair,Red
A691423,Blacky,11/04/2014 11:56:00 AM,11/04/2014 11:56:00 AM,6500 River Place Blvd in Austin (TX),Stray,Injured,Dog,Intact Male,7 years,Yorkshire Terrier Mix,Brown/Black
A694587,,12/31/2014 11:33:00 AM,12/31/2014 11:33:00 AM,12320 Dessau Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,American Bulldog Mix,Brown/White
A697854,Monty,03/02/2015 01:34:00 PM,03/02/2015 01:34:00 PM,2202 Cedar Bend Dr # B in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,9 years,Beauceron Mix,Black/Tan
A707635,,07/15/2015 01:38:00 PM,07/15/2015 01:38:00 PM,4106 N Lamar Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Black/White
A772626,*William,05/21/2018 07:01:00 PM,05/21/2018 07:01:00 PM,8017 Old Bee Caves Road in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
A703294,Zoe,05/22/2015 04:42:00 PM,05/22/2015 04:42:00 PM,Mckinney Falls Pkwy And Dee Gabriel Collins in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle/White
A664336,,10/02/2013 11:04:00 AM,10/02/2013 11:04:00 AM,16801 Trevin Cv in Manor (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico
A756443,*Pinky,08/19/2017 04:33:00 PM,08/19/2017 04:33:00 PM,1011 Springdale Road in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A678753,*Leopard,05/12/2014 03:10:00 PM,05/12/2014 03:10:00 PM,4101 Smith School Road in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White
A733400,,08/21/2016 11:42:00 AM,08/21/2016 11:42:00 AM,2703 Channing Cir in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
A725789,,05/03/2016 12:12:00 PM,05/03/2016 12:12:00 PM,1701 Congress Ave in Austin (TX),Wildlife,Normal,Other,Unknown,2 weeks,Opossum,Gray
A678503,*Europa,05/09/2014 03:44:00 PM,05/09/2014 03:44:00 PM,2121 Rivena Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White
A690667,,10/23/2014 06:59:00 PM,10/23/2014 06:59:00 PM,4604 Reyes St in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
A728224,,06/01/2016 12:23:00 PM,06/01/2016 12:23:00 PM,2000 E. 8Th in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,White/Brown Tabby
A778803,*Baritone,08/20/2018 03:25:00 PM,08/20/2018 03:25:00 PM,1203 Loma Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Black
A704534,,06/05/2015 11:24:00 PM,06/05/2015 11:24:00 PM,11404 Briarcreek Loop in Travis (TX),Stray,Normal,Dog,Spayed Female,11 years,Pomeranian Mix,Black
A753878,Boomba,07/12/2017 09:09:00 AM,07/12/2017 09:09:00 AM,8312 North Ih 35 in Austin (TX),Stray,Normal,Cat,Intact Male,6 days,Domestic Shorthair Mix,Blue Tabby
A786285,*Helsinki,12/21/2018 12:07:00 PM,12/21/2018 12:07:00 PM,13300 Prarie Sage in Manor (TX),Stray,Normal,Dog,Intact Female,2 years,Siberian Husky Mix,Gray/White
A696005,,01/27/2015 02:47:00 PM,01/27/2015 02:47:00 PM,Georgian Dr And Rundberg in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Dachshund Wirehair/Norfolk Terrier,Buff
A761279,,11/02/2017 09:33:00 AM,11/02/2017 09:33:00 AM,171 Elm Forest Loop in Bastrop (TX),Stray,Injured,Dog,Intact Female,2 years,Chihuahua Longhair Mix,Black/White
A706563,Ricky,06/30/2015 02:53:00 PM,06/30/2015 02:53:00 PM,Pflugerville (TX),Owner Surrender,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
A695353,Smooches,01/14/2015 12:07:00 PM,01/14/2015 12:07:00 PM,2000 Millhouse Dr in Travis (TX),Owner Surrender,Normal,Dog,Intact Female,4 months,Maltese/Miniature Poodle,Tan/White
A701371,*Sadie,04/28/2015 03:26:00 PM,04/28/2015 03:26:00 PM,3101 Oak Springs Dr in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A673922,,03/04/2014 04:25:00 PM,03/04/2014 04:25:00 PM,9700 Mv Neil Dr in Travis (TX),Wildlife,Sick,Other,Unknown,1 year,Bat Mix,Black/Brown
A697267,,02/20/2015 04:33:00 PM,02/20/2015 04:33:00 PM,Austin (TX),Euthanasia Request,Sick,Bird,Unknown,1 year,Chicken Mix,Red
A776410,*Cosmos,07/13/2018 11:54:00 AM,07/13/2018 11:54:00 AM,Ballycastle in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
A666176,*Scruffy,10/28/2013 01:12:00 PM,10/28/2013 01:12:00 PM,Teri Rd And Freiderick Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Schnauzer/Yorkshire Terrier,Tricolor
A700580,,04/16/2015 12:42:00 PM,04/16/2015 12:42:00 PM,7500 S I H 35 in Austin (TX),Stray,Normal,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black
A673193,,02/20/2014 08:12:00 AM,02/20/2014 08:12:00 AM,Springdale/Oak Springs in Austin (TX),Stray,Normal,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Tan/White
A709693,,08/12/2015 12:34:00 PM,08/12/2015 12:34:00 PM,5947 Hammermill Run in Austin (TX),Wildlife,Normal,Other,Unknown,3 years,Bat Mix,Brown
A697049,*Marigold,02/17/2015 11:06:00 AM,02/17/2015 11:06:00 AM,2504 New York Dr # 134 in Austin (TX),Stray,Injured,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby/White
A728338,Olivia,06/02/2016 02:58:00 PM,06/02/2016 02:58:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan/White
A676201,Duke,04/06/2014 12:14:00 PM,04/06/2014 12:14:00 PM,Valburn And North Rim in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Golden Retriever/Standard Poodle,Gold
A717598,Jelly Bean,12/11/2015 11:00:00 AM,12/11/2015 11:00:00 AM,Lamar And Peyton Gin in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Jack Russell Terrier/Whippet,White/Brown
A726579,*Lenny,05/12/2016 01:57:00 PM,05/12/2016 01:57:00 PM,1710 Eastside Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair,Black/White
A692877,Snowflake,11/26/2014 06:55:00 PM,11/26/2014 06:55:00 PM,4500 Steiner in Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Cream Tabby/White
A740824,*Tipper,12/26/2016 03:40:00 PM,12/26/2016 03:40:00 PM,W William Cannon Dr & West Gate Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Catahoula Mix,Red/White
A719525,Kumani,01/22/2016 09:14:00 AM,01/22/2016 09:14:00 AM,Grooms St & E 35Th St in Austin (TX),Stray,Normal,Dog,Spayed Female,10 years,Rhod Ridgeback/German Shepherd,Tan
A680951,Casey,06/10/2014 12:41:00 PM,06/10/2014 12:41:00 PM,Scofield Ridge Pkwy And Lamplight Village in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Labrador Retriever Mix,Yellow
A705262,Sadie,06/15/2015 12:56:00 PM,06/15/2015 12:56:00 PM,South Lamar/6Th in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Plott Hound/Boxer,Brown Brindle/White
A724359,*Hercules,11/03/2016 05:00:00 PM,11/03/2016 05:00:00 PM,4606 Molera in Austin (TX),Stray,Normal,Dog,Neutered Male,10 months,Feist/Beagle,Black/Brown
A670612,Sheila,11/13/2015 09:56:00 PM,11/13/2015 09:56:00 PM,4434 Frontier Trl in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Beagle,Brown/White
A708477,,07/28/2015 11:45:00 AM,07/28/2015 11:45:00 AM,9117 Anderson Mill Rd in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Dachshund Longhair Mix,Black/White
A731100,Organic,09/23/2016 10:11:00 AM,09/23/2016 10:11:00 AM,2528 Glen Springs Way in Austin (TX),Public Assist,Normal,Dog,Intact Female,6 months,Pit Bull Mix,White/Brown
A671079,,01/18/2014 11:02:00 AM,01/18/2014 11:02:00 AM,4Th And Lamar in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Tan
A775280,Louise,06/27/2018 01:42:00 PM,06/27/2018 01:42:00 PM,8228 Research Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,6 years,Miniature Poodle Mix,White
A668213,Camilla,11/30/2013 11:38:00 AM,11/30/2013 11:38:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,Miniature Poodle Mix,White
A717108,Precious,09/20/2018 11:51:00 AM,09/20/2018 11:51:00 AM,4200 South Ih 35 Frontage Road in Austin (TX),Stray,Normal,Dog,Spayed Female,9 years,Australian Kelpie/Beagle,Black/Tan
A584740,Chiquilin,12/06/2018 12:25:00 PM,12/06/2018 12:25:00 PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,12 years,Miniature Poodle Mix,White
A699406,Gruffy,03/28/2015 12:17:00 PM,03/28/2015 12:17:00 PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,4 years,Pit Bull/Chinese Sharpei,Brown Brindle/White
A785183,*Ice,11/28/2018 09:06:00 AM,11/28/2018 09:06:00 AM,9703 Marlborough Dr in Austin (TX),Stray,Injured,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black
A733498,Marley,08/22/2016 04:59:00 PM,08/22/2016 04:59:00 PM,1403 Bentwood Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Boxer Mix,Brown Brindle/White
A665292,,10/16/2013 07:59:00 AM,10/16/2013 07:59:00 AM,North Ec Research Blvd in Austin (TX),Stray,Nursing,Cat,Intact Male,0 years,Domestic Shorthair Mix,Cream
A702750,,05/17/2015 01:13:00 PM,05/17/2015 01:13:00 PM,19379 Wilkey Lane in Pflugerville (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby
A680068,Chaco,05/30/2014 11:29:00 AM,05/30/2014 11:29:00 AM,Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Australian Cattle Dog,Blue Merle/White
A699435,Oxford,03/27/2015 12:28:00 PM,03/27/2015 12:28:00 PM,Kramer Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pointer/Collie Smooth,Tricolor
A667939,,11/25/2013 12:59:00 PM,11/25/2013 12:59:00 PM,22900 Big Sandy Dr in Leander (TX),Stray,Normal,Dog,Intact Female,6 months,Labrador Retriever Mix,Black
A682138,Frannie,05/09/2015 02:51:00 PM,05/09/2015 02:51:00 PM,2400 E Cesar Chavez St in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/White
A717611,Socks,06/27/2017 11:55:00 AM,06/27/2017 11:55:00 AM,8308 Bridgetown Dr in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Black/White
A721066,Maybay,02/20/2016 03:31:00 PM,02/20/2016 03:31:00 PM,Austin (TX),Euthanasia Request,Normal,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Black Tabby/White
A686496,,08/22/2014 04:55:00 PM,08/22/2014 04:55:00 PM,Pflugerville (TX),Owner Surrender,Normal,Cat,Intact Male,5 months,Domestic Shorthair Mix,Brown Tabby
A707873,Missy,06/05/2016 11:01:00 AM,06/05/2016 11:01:00 AM,Burleson Rd And Mckinney Falls in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Queensland Heeler,Red Tick/White
A717461,Sweed,12/08/2015 11:37:00 AM,12/08/2015 11:37:00 AM,5500 Ross Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Sable
A699758,*River,04/02/2015 12:22:00 PM,04/02/2015 12:22:00 PM,Montopolis/Riverside in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Labrador Retriever/Flat Coat Retriever,Brown Brindle
A682491,Pepe,06/28/2014 01:35:00 PM,06/28/2014 01:35:00 PM,Mearns Meadow & Quail Valley in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Dachshund Mix,Tricolor
A744182,Luna,02/24/2017 03:52:00 PM,02/24/2017 03:52:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Blue/White
A743958,*Indie,02/20/2017 02:33:00 PM,02/20/2017 02:33:00 PM,310 Blackson Ave in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle
A531598,Rocky,02/18/2014 12:24:00 PM,02/18/2014 12:24:00 PM,3611 Brifal Path in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Border Collie,Black/White
A787344,*Cub,01/11/2019 02:55:00 PM,01/11/2019 02:55:00 PM,13801 Spring Heath Rd in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Plott Hound Mix,Brown Tiger/White
A694795,Rosie,01/04/2015 03:28:00 PM,01/04/2015 03:28:00 PM,2909 Thurgood Ave in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Brown/White
A729928,,06/25/2016 04:14:00 PM,06/25/2016 04:14:00 PM,6001 Shepherd Mountian Cv in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Bat Mix,Red
A732273,,08/05/2016 10:59:00 AM,08/05/2016 10:59:00 AM,1601 E Slaughter Ln #514 in Austin (TX),Stray,Injured,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Brown Tabby
A707453,*Willow,07/13/2015 12:15:00 PM,07/13/2015 12:15:00 PM,1221 West Ben White in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A751462,*Pilgrim,06/08/2017 03:28:00 PM,06/08/2017 03:28:00 PM,20416 Crested Caracara Ln in Travis (TX),Stray,Normal,Dog,Intact Male,5 years,Basset Hound Mix,Brown Brindle
A723116,,03/26/2016 11:37:00 PM,03/26/2016 11:37:00 PM,"2209 Rutland Dr, Unit B in Austin (TX)",Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown
A763724,,12/15/2017 07:01:00 AM,12/15/2017 07:01:00 AM,1801 Fort View in Austin (TX),Stray,Injured,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/Black
A704765,*Suzie,06/08/2015 06:05:00 PM,06/08/2015 06:05:00 PM,309 Thelma Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A734484,*Blossom,09/07/2016 12:54:00 PM,09/07/2016 12:54:00 PM,1206 Blackfoot in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Beagle Mix,White/Tan
A720873,,02/16/2016 04:25:00 PM,02/16/2016 04:25:00 PM,Anderson Mill Rd And Villa Park Dr in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Labrador Retriever Mix,White/Tan
A719358,*Jimmy,01/18/2016 12:38:00 PM,01/18/2016 12:38:00 PM,1000 W Rundberg Ln in Austin (TX),Stray,Aged,Dog,Intact Male,5 years,Chihuahua Shorthair Mix,Tan/White
A774222,Beans,06/11/2018 06:20:00 PM,06/11/2018 06:20:00 PM,1107 East Yager Lane in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Black/White
A742096,*Flint,01/14/2017 03:33:00 PM,01/14/2017 03:33:00 PM,9700 Teasdale in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown
A672489,*Emmie,02/13/2014 06:41:00 PM,02/13/2014 06:41:00 PM,Sahara And Mojave in Austin (TX),Stray,Normal,Dog,Intact Female,8 months,Pit Bull Mix,Brown Brindle
A687599,Cai,09/07/2014 11:29:00 AM,09/07/2014 11:29:00 AM,Becker Lane And Maha Loop in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Pointer Mix,White/Brown
A668729,Riley,12/08/2013 11:52:00 AM,12/08/2013 11:52:00 AM,Rundberg And Lamar in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Boxer Mix,Brown Brindle
A688621,Kitty Garcia,08/19/2016 11:55:00 AM,08/19/2016 11:55:00 AM,Austin (TX),Owner Surrender,Sick,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue
A689228,Louie,10/01/2014 07:21:00 AM,10/01/2014 07:21:00 AM,3005 S. Lamar in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Dachshund/Chihuahua Shorthair,Sable/Tan
A751518,Victoria,06/09/2017 10:55:00 AM,06/09/2017 10:55:00 AM,200 W Anderson Ln in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Siamese Mix,Lynx Point
A726707,,05/13/2016 02:42:00 PM,05/13/2016 02:42:00 PM,Levander Loop in Austin (TX),Wildlife,Injured,Other,Unknown,2 months,Rabbit Sh Mix,Brown/White
A726816,,05/14/2016 07:27:00 PM,05/14/2016 07:27:00 PM,139 Bolles Cicrle in Austin (TX),Stray,Injured,Cat,Intact Male,5 months,Domestic Medium Hair Mix,Black
A781610,,10/02/2018 01:11:00 PM,10/02/2018 01:11:00 PM,5516 Spring Meadow Road in Austin (TX),Stray,Nursing,Cat,Intact Male,1 day,Domestic Shorthair Mix,Blue
A677271,,04/22/2014 05:00:00 PM,04/22/2014 05:00:00 PM,5905 Lookout Mountain Dr in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Raccoon Mix,Gray/Black
A717109,Max,01/06/2016 04:47:00 PM,01/06/2016 04:47:00 PM,5903 Wideleaf in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Golden Retriever/Australian Cattle Dog,Tan
A734896,Meme,09/15/2016 09:28:00 AM,09/15/2016 09:28:00 AM,11919 Manchaca Rd in Austin (TX),Stray,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Brown Tabby
A770617,Fat Girl,04/23/2018 11:07:00 AM,04/23/2018 11:07:00 AM,Austin (TX),Public Assist,Normal,Dog,Intact Female,3 years,Pit Bull Mix,Fawn/White
A700917,,04/21/2015 11:39:00 AM,04/21/2015 11:39:00 AM,4709 Lake George Ln in Austin (TX),Stray,Nursing,Cat,Unknown,1 week,Domestic Shorthair Mix,Torbie/White
A774850,*Treme,06/21/2018 11:02:00 AM,06/21/2018 11:02:00 AM,2104 Beckett Drive in Austin (TX),Stray,Normal,Cat,Intact Female,6 years,Siamese Mix,Lynx Point
A764268,*Natalie,12/26/2017 05:22:00 PM,12/26/2017 05:22:00 PM,3601 Govalle Ave in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,White/Brown Brindle
A738335,Newman,11/30/2016 06:52:00 PM,11/30/2016 06:52:00 PM,3201 Duval Rd in Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A632022,Dolly,02/07/2014 02:59:00 PM,02/07/2014 02:59:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,13 years,Rat Terrier Mix,White/Black
A677551,,04/26/2014 12:04:00 PM,04/26/2014 12:04:00 PM,2500 Magin Meadow Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Brown Tabby/White
A765468,Skye,12/12/2018 12:33:00 PM,12/12/2018 12:33:00 PM,14512 Harris Ridge Blvd in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Siberian Husky Mix,White
A688670,Sadie,09/22/2014 11:09:00 AM,09/22/2014 11:09:00 AM,12401 Pauls Valley Rd in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Whippet/Dachshund,Tricolor
