Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A703176,*Cookie,05/21/2015 12:08:00 PM,05/21/2015 12:08:00 PM,2601 S Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A702557,Max,02/24/2016 01:03:00 PM,02/24/2016 01:03:00 PM,5900 Coventry Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Australian Shepherd Mix,Chocolate/White
A767027,Sansa,02/21/2018 12:38:00 PM,02/21/2018 12:38:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Tortie
A780940,,09/22/2018 01:03:00 PM,09/22/2018 01:03:00 PM,1205 Cullen Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black
A742855,,01/29/2017 04:18:00 PM,01/29/2017 04:18:00 PM,Thannas Way in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pekingese Mix,Fawn
A752444,,06/22/2017 12:28:00 PM,06/22/2017 12:28:00 PM,2201 Riverview St in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,English Foxhound Mix,Black/White
A683546,,07/11/2014 01:28:00 PM,07/11/2014 01:28:00 PM,Travis (TX),Stray,Nursing,Dog,Intact Female,0 years,Pit Bull Mix,Black/White
A640924,Loco,07/15/2014 01:22:00 PM,07/15/2014 01:22:00 PM,602 Montopolis in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Pit Bull,Brown/White
A717837,Mr. B,12/16/2015 11:02:00 AM,12/16/2015 11:02:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Orange Tabby/White
A776422,,07/13/2018 02:23:00 PM,07/13/2018 02:23:00 PM,2763 Citation Drive in Del Valle (TX),Stray,Normal,Cat,Intact Female,10 months,Domestic Shorthair Mix,Black
A692974,*Ana,11/29/2014 01:09:00 PM,11/29/2014 01:09:00 PM,5701 E Mlk Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A644301,Cloy,11/17/2014 11:04:00 AM,11/17/2014 11:04:00 AM,1616 Royal Crest Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Black
A738254,*Lawrence,11/11/2016 03:49:00 PM,11/11/2016 03:49:00 PM,Travis (TX),Owner Surrender,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue Tabby
A700450,Java,04/13/2015 08:06:00 PM,04/13/2015 08:06:00 PM,2624 Gwendolyn Ln #B in Austin (TX),Public Assist,Normal,Dog,Spayed Female,5 years,Cairn Terrier Mix,Brown
A616795,Xena,06/10/2014 06:47:00 PM,06/10/2014 06:47:00 PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Bruss Griffon Mix,Brown Brindle
A766324,Luke,02/06/2018 05:02:00 PM,02/06/2018 05:02:00 PM,Thomas Springs And Circle Drive in Del Valle (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A730315,*Monty,07/01/2016 05:51:00 PM,07/01/2016 05:51:00 PM,Johnny Morris Rd And Loyola in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A733302,Stinky,08/19/2016 07:21:00 PM,08/19/2016 07:21:00 PM,12317 Paloma Blanca Way in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Black/White
A715528,Mia,04/11/2017 11:34:00 AM,04/11/2017 11:34:00 AM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,2 years,Staffordshire Mix,Brown/White
A760947,Jezebel,10/26/2017 02:28:00 PM,10/26/2017 02:28:00 PM,8325 Fathom Circle in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,Staffordshire Mix,Blue/White
A762687,*Ajax,11/24/2017 12:04:00 PM,11/24/2017 12:04:00 PM,Howard Lane And Dessau Road in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Black/Tan Hound Mix,Brown/White
A740984,*Rosie,12/26/2016 12:53:00 PM,12/26/2016 12:53:00 PM,2410 E Riverside Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Cairn Terrier Mix,Sable
A767877,,03/08/2018 02:26:00 PM,03/08/2018 02:26:00 PM,1102 S Congress Ave in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Black
A761263,Bear,11/01/2017 06:59:00 PM,11/01/2017 06:59:00 PM,Rogge Lane And Reicher Lane in Austin (TX),Stray,Normal,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Black/Tan
A677851,,04/30/2014 10:45:00 AM,04/30/2014 10:45:00 AM,Bastrop/ Lexington in Manor (TX),Stray,Normal,Dog,Neutered Male,1 year,Pomeranian Mix,Sable
A685089,*Gidget,08/07/2014 06:16:00 PM,08/07/2014 06:16:00 PM,Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,6 months,Pit Bull Mix,Blue/White
A705885,*Meowser,06/22/2015 12:56:00 PM,06/22/2015 12:56:00 PM,11503 Hereford Street in Manor (TX),Owner Surrender,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
